,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
RP,박준영,한화,4.7,12,1,0,0,0,1,15 1/3,12,1,16,2,13,9,8,1.83
RP,이상규,한화,2.92,10,0,0,0,2,0,12 1/3,10,1,6,1,8,7,4,1.3
SP,왕옌청,한화,2.74,9,4,2,0,0,0.667,49 1/3,49,3,21,3,42,23,15,1.42
RP,원종혁,한화,10.5,9,1,0,0,0,1,6,13,1,7,0,3,8,7,3.33
RP,강건우,한화,7.15,8,0,0,0,0,0,11 1/3,20,2,9,1,10,10,9,2.56
RP,권민규,한화,3.38,8,1,0,0,0,1,8,10,1,4,0,5,3,3,1.75
SP,에르난데스,한화,4.86,8,3,3,0,0,0.5,37,41,2,15,1,27,22,20,1.51
SP,류현진,한화,3.51,7,4,2,0,0,0.667,41,36,4,7,1,41,19,16,1.05
RP,김도빈,한화,24.75,6,0,1,0,1,0,4,3,0,10,2,6,11,11,3.25
SP,문동주,한화,5.18,6,1,1,0,0,0.5,24 1/3,27,3,11,3,18,16,14,1.56
SP,황준서,한화,6.57,6,0,2,0,0,0,12 1/3,11,1,12,0,14,10,9,1.86
CP,주현상,한화,15.43,3,0,0,0,0,0,2 1/3,7,1,2,0,1,9,4,3.86
RP,박준영,한화,0,1,1,0,0,0,1,5,3,0,3,0,2,0,0,1.2
,,,,,,,,,,,,,,,,,
RP,이병헌,두산,5.94,23,1,1,0,4,0.5,16 2/3,23,1,7,0,16,13,11,1.8
RP,양재훈,두산,4.12,20,0,2,0,2,0,19 2/3,19,2,12,3,21,11,9,1.58
RP,김정우,두산,2.6,18,0,2,0,2,0,17 1/3,12,0,7,3,13,5,5,1.1
RP,타무라,두산,8.1,14,1,1,0,2,0.5,13 1/3,24,3,4,1,13,12,12,2.1
RP,이영하,두산,2.65,13,2,1,3,0,0.667,17,11,1,14,0,20,5,5,1.47
RP,박치국,두산,2,12,0,0,0,3,0,9,13,0,2,3,10,4,2,1.67
RP,윤태호,두산,1.74,12,1,0,1,1,1,10 1/3,8,0,6,0,9,2,2,1.35
SP,곽빈,두산,3.62,9,3,2,0,0,0.6,49 2/3,50,3,20,1,57,24,20,1.41
CP,김택연,두산,0.87,9,0,0,3,0,0,10 1/3,5,1,6,0,11,1,1,1.06
RP,박신지,두산,10.5,9,0,0,0,0,0,12,14,3,8,2,9,14,14,1.83
SP,잭로그,두산,3.19,8,3,3,0,0,0.5,48,52,2,9,2,45,19,17,1.27
SP,최승용,두산,5.06,8,1,4,0,0,0.2,37 1/3,44,1,19,0,22,24,21,1.69
RP,이용찬,두산,10.13,7,1,0,0,0,1,5 1/3,9,2,2,0,5,6,6,2.06
SP,최민석,두산,2.56,7,3,0,0,0,1,38 2/3,31,1,23,2,35,14,11,1.4
RP,최지강,두산,18,7,0,0,0,0,0,4,9,0,4,1,4,11,8,3.25
SP,최준호,두산,4.09,6,1,1,0,0,0.5,11,9,2,3,0,13,5,5,1.09
SP,벤자민,두산,4.1,5,0,3,0,0,0,26 1/3,38,1,8,0,26,15,12,1.75
RP,최주형,두산,0,5,0,0,0,0,0,4 1/3,1,0,4,0,7,0,0,1.15
RP,김명신,두산,3.38,3,1,0,0,0,1,2 2/3,3,0,1,1,0,1,1,1.5
RP,박정수,두산,3,3,0,0,0,0,0,3,3,0,3,0,1,3,1,2
SP,최원준,두산,0,2,0,0,0,0,0,2,1,0,1,0,1,0,0,1
SP,플렉센,두산,5.4,2,0,2,0,0,0,5,2,1,6,2,3,4,3,1.6
,,,,,,,,,,,,,,,,,
RP,배재환,NC,0.93,24,2,0,0,8,1,19 1/3,16,1,6,0,17,5,2,1.14
RP,김영규,NC,3.63,23,1,1,0,2,0.5,17 1/3,18,2,13,1,13,7,7,1.79
RP,임지민,NC,3.93,20,1,1,1,5,0.5,18 1/3,11,3,9,1,21,9,8,1.09
RP,김진호,NC,6,18,0,2,0,4,0,15,12,2,15,0,12,11,10,1.8
RP,전사민,NC,2.76,18,1,1,2,0,0.5,16 1/3,10,0,4,3,12,5,5,0.86
CP,류진욱,NC,7.8,17,1,3,3,0,0.25,15,19,4,6,2,18,13,13,1.67
RP,이준혁,NC,3.29,14,0,0,0,1,0,13 2/3,14,0,11,3,13,8,5,1.83
RP,임정호,NC,5,14,0,0,0,1,0,9,9,1,3,0,8,5,5,1.33
RP,원종해,NC,3.24,11,0,0,0,1,0,8 1/3,5,0,3,3,5,3,3,0.96
SP,신민혁,NC,4.79,8,0,3,0,0,0,35 2/3,32,6,13,3,17,21,19,1.26
SP,테일러,NC,6.05,8,3,3,0,0,0.5,38 2/3,37,2,21,5,31,26,26,1.5
